,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,126.1437988,218.1118164,189.5921326,222.0128021,337.7221069,212.0306702,458.6098022,225.1582184,533.3447876,214.0231934,0
1,1,127.416256,220.0056129,191.1348653,223.359472,339.1210614,210.4873315,458.6993104,226.0549812,533.6457152,214.9873727,0.033333333
2,2,125.5331192,216.262207,189.0728912,222.8018951,338.1987305,210.9268494,459.926178,224.468277,533.7000732,213.4352722,0.066666667
3,3,121.6411774,214.2085868,188.2517208,221.627646,337.8792466,209.1272617,455.8510986,221.9390205,532.7907456,208.819104,0.1
4,4,123.6555786,216.4726257,190.6698761,220.7306976,338.6019592,212.0387421,458.770874,224.2308044,538.7675171,209.1665039,0.133333333
5,5,123.1314508,218.5899198,191.3242106,220.8090517,339.7679732,214.1500643,459.2051831,222.8659577,540.2694,210.0932166,0.166666667
6,6,124.6626663,218.5780334,190.0875244,221.878479,340.5762634,211.637085,460.3012085,222.3125,542.1375732,208.3011475,0.2
7,7,123.8096068,217.15122,188.6159599,219.4238032,339.0766975,209.8328126,458.1482049,219.863199,540.5864471,206.2663075,0.233333333
8,8,123.192543,218.0027771,191.3812866,221.1618195,341.2658997,212.8954926,458.84729,221.7264404,541.9638062,206.7667999,0.266666667
9,9,125.3983843,219.7625878,191.4381276,221.05543,342.7206464,213.6613743,460.4902405,222.0114395,545.3339569,205.7997801,0.3
10,10,125.0432663,220.4866638,189.5331879,220.5311127,340.5907593,211.69841,461.2877197,223.7311401,545.4366455,205.5607605,0.333333333
11,11,125.8205975,218.8574288,189.687033,221.1632587,337.1227785,208.4311043,456.0025748,220.3203413,543.7910458,203.3134316,0.366666667
12,12,128.9665527,220.7389526,190.7840881,220.4231262,341.107666,211.4736481,461.1929321,222.9756012,548.1273193,203.52211,0.4
13,13,128.8645438,221.925347,192.4518843,222.2617949,342.9272369,213.3164544,461.306037,224.8291884,548.3945994,203.8111533,0.433333333
14,14,130.0416718,219.745163,190.5411072,220.9390106,341.4856873,211.0267487,459.7107849,222.4831696,549.8065796,202.1983337,0.466666667
15,15,131.6880334,219.9063884,188.4271635,218.3896557,340.0671058,208.3204799,459.6173418,219.2120508,550.0809811,199.9935889,0.5
16,16,132.4026642,221.6140442,188.9456482,220.9490662,341.1694031,212.2839813,459.2955017,221.1605988,549.8930054,202.3637848,0.533333333
17,17,135.6497929,224.3885176,190.7286286,223.1686179,342.484105,214.5925078,459.6968563,223.240173,550.5978669,205.9645203,0.566666667
18,18,136.5558319,222.9322052,189.127655,220.328476,341.2520447,212.6497498,458.7604675,221.23172,550.6800537,203.5069275,0.6
19,19,133.70038,224.5873075,186.4626211,220.0342681,339.8194235,212.4058861,457.3815094,218.9189459,550.5473459,201.8574457,0.633333333
20,20,139.3939209,223.7294922,188.9560699,222.3594666,342.5485229,213.7982635,460.4198914,220.4728394,550.668335,202.9606323,0.666666667
21,21,141.7071979,226.7537525,190.9771734,223.3994307,341.9414163,213.9365332,460.5687064,222.8608528,552.4298058,204.9686206,0.7
22,22,142.607254,227.2008972,189.913269,221.7119446,342.8895874,213.8165131,459.3319397,219.0911407,550.4260254,206.2675476,0.733333333
23,23,142.9724532,226.810569,188.75453,221.4271608,340.4412042,211.3956205,457.3227405,218.3592127,547.4300684,205.4705119,0.766666667
24,24,144.8710022,228.3267365,192.4156036,224.69133,341.1735229,214.5050812,456.9382324,219.0555725,549.1920776,206.3599243,0.8
