,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,132.6267547607422,219.11126708984375,190.25604248046875,225.61122131347656,337.6171569824219,213.60667419433594,458.349609375,210.67710876464844,530.3153686523438,222.5431365966797,0.0
1,1,132.84454345703125,219.0362091064453,190.2628936767578,225.51979064941406,337.61669921875,213.52493286132812,458.36474609375,210.71871948242188,530.1752319335938,222.5743408203125,0.0333333333333333
2,2,132.79083251953125,219.1942596435547,190.11248779296875,225.49301147460938,337.915771484375,213.57257080078125,458.4359436035156,210.657958984375,530.206787109375,222.61578369140625,0.0666666666666666
3,3,132.0456085205078,219.36280822753906,190.2293243408203,225.88546752929688,336.3818054199219,213.08042907714844,458.1849365234375,210.8236083984375,530.3203125,222.50901794433594,0.0999999999999999
4,4,132.0189208984375,219.50096130371094,190.25465393066406,224.05386352539062,336.18603515625,211.91302490234375,458.12176513671875,210.04827880859375,530.2625732421875,222.66270446777344,0.1333333333333332
5,5,131.92300415039062,219.6696014404297,190.16778564453125,225.75831604003906,335.2071533203125,212.07652282714844,458.29803466796875,209.28753662109375,531.9115600585938,222.5663299560547,0.1666666666666665
6,6,130.13108825683594,220.2825927734375,190.73446655273438,225.66282653808594,336.33087158203125,211.76429748535156,458.378662109375,209.6650390625,531.638671875,222.3948974609375,0.1999999999999998
7,7,129.995849609375,219.81430053710938,190.60287475585938,224.07777404785156,336.6961364746094,211.5990447998047,458.5662536621094,209.10269165039062,529.9658813476562,222.116455078125,0.2333333333333331
8,8,131.16949462890625,219.49935913085938,189.37582397460938,225.12826538085938,336.3637390136719,212.9090576171875,458.42242431640625,208.8691864013672,530.66015625,222.2564697265625,0.2666666666666664
9,9,129.49232482910156,218.19937133789062,190.15093994140625,225.40049743652344,335.8618469238281,211.29556274414062,458.2376403808594,208.7781524658203,529.956298828125,220.69342041015625,0.2999999999999997
10,10,129.6945343017578,219.83421325683594,188.8876953125,223.9884796142578,335.96881103515625,211.73007202148438,457.563720703125,208.43710327148438,531.3138427734375,220.15621948242188,0.33333333333333304
11,11,129.27621459960938,220.73878479003906,188.95213317871094,224.79074096679688,335.06219482421875,211.62200927734375,457.7448425292969,206.86203002929688,531.3165283203125,220.32411193847656,0.36666666666666636
12,12,130.7646484375,219.64089965820312,189.46844482421875,223.822998046875,335.32318115234375,212.3312225341797,458.80181884765625,206.87298583984375,531.3546752929688,218.50653076171875,0.3999999999999997
13,13,130.88626098632812,219.7135467529297,189.45559692382812,223.93772888183594,335.1672058105469,212.3286590576172,458.83868408203125,206.78981018066406,531.287109375,218.51449584960938,0.433333333333333
14,14,128.92959594726562,220.59771728515625,189.57199096679688,224.30712890625,334.1230773925781,213.05581665039062,457.95452880859375,206.2406463623047,533.1759033203125,218.08932495117188,0.46666666666666634
15,15,129.33663940429688,219.8767547607422,189.5318603515625,225.75575256347656,334.82208251953125,213.0299072265625,459.2901306152344,207.33157348632812,533.5335693359375,216.37460327148438,0.49999999999999967
16,16,128.49546813964844,220.46310424804688,188.99314880371094,225.22059631347656,334.0665283203125,212.24671936035156,459.5755310058594,207.48097229003906,533.7255859375,216.15780639648438,0.533333333333333
17,17,128.60792541503906,220.95863342285156,189.00164794921875,225.1884307861328,334.9184875488281,211.9189910888672,460.781494140625,206.75100708007812,533.931640625,215.98043823242188,0.5666666666666663
18,18,130.15586853027344,220.39710998535156,190.21144104003906,224.4794158935547,333.97796630859375,211.45753479003906,462.6090393066406,206.31414794921875,534.4979858398438,215.1029510498047,0.5999999999999996
19,19,129.8861541748047,219.53338623046875,190.47860717773438,226.03964233398438,334.1347961425781,211.76361083984375,462.47796630859375,206.56504821777344,533.3269653320312,215.2454071044922,0.633333333333333
20,20,129.945068359375,219.4623565673828,189.89060974121094,226.21507263183594,335.0726318359375,212.19265747070312,463.34063720703125,206.82220458984375,534.7152099609375,214.85589599609375,0.6666666666666663
21,21,129.66551208496094,221.27403259277344,188.9710235595703,225.6679229736328,334.0314636230469,211.79623413085938,465.04095458984375,206.2769775390625,534.3213500976562,214.4675750732422,0.6999999999999996
22,22,129.27566528320312,221.10548400878906,189.20407104492188,225.75941467285156,333.8830261230469,212.2805938720703,465.5821228027344,206.921630859375,534.2832641601562,213.3955078125,0.733333333333333
23,23,129.16490173339844,221.14910888671875,189.7403106689453,225.72930908203125,334.3940124511719,211.79006958007812,466.8787841796875,206.8700714111328,535.4561157226562,213.22865295410156,0.7666666666666663
24,24,128.98681640625,219.5506591796875,188.94955444335938,224.61007690429688,334.1095886230469,212.6800079345703,466.8458251953125,207.6192626953125,535.6195678710938,212.834228515625,0.7999999999999996
25,25,128.89669799804688,219.48817443847656,189.02008056640625,224.71726989746094,334.0694580078125,212.56541442871094,466.743896484375,207.68960571289062,535.6984252929688,212.8477020263672,0.8333333333333329
26,26,128.8526153564453,220.02337646484375,188.55612182617188,225.18785095214844,333.79388427734375,212.8594512939453,466.5577392578125,207.99984741210938,535.4730224609375,213.0126953125,0.8666666666666663
27,27,128.87716674804688,220.43943786621094,188.63929748535156,225.07772827148438,334.5455627441406,212.2496337890625,465.87042236328125,208.4951629638672,535.7592163085938,213.23069763183594,0.8999999999999996
28,28,128.4373779296875,221.61337280273438,188.47323608398438,224.5870819091797,333.0223083496094,212.25656127929688,465.4389343261719,208.59524536132812,536.08447265625,213.88735961914062,0.9333333333333329
