,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,119.6556951,220.4326989,188.7998425,226.4649968,345.6585682,212.4911369,474.0000243,216.4865392,539.9807809,216.7546241,0
1,1,116.9148543,220.1544791,186.5290144,224.4649612,340.8075899,209.6713867,470.5658411,216.4976099,534.0609201,214.0152698,0.033333333
2,2,119.369197,220.6885077,189.653563,226.7339416,346.1107101,212.4023771,473.3034118,219.8854542,538.844846,215.8086961,0.066666667
3,3,119.1772617,220.4041916,188.2632639,226.7329857,342.2133403,210.521153,468.3446988,216.9833111,533.5238768,217.2499817,0.1
4,4,119.4487335,220.3829937,188.0513612,226.3916781,343.1434316,210.6078948,469.6029938,219.217341,538.4933656,215.6122566,0.133333333
5,5,119.417252,219.795627,187.1339677,225.2172554,341.4876559,210.5986809,468.6961657,217.6873302,535.0801235,214.9395868,0.166666667
6,6,120.7945292,222.1382474,188.7081944,226.9932619,345.0132639,213.5334242,472.9760106,221.754361,537.6592301,216.8516946,0.2
7,7,120.1775016,219.1355813,186.69122,223.6139595,343.0640051,210.2332156,468.9823345,218.7228771,531.9518208,215.0001125,0.233333333
8,8,119.6947877,220.4395077,188.1826391,225.9451887,344.9108501,211.5000094,469.9118517,220.5157728,534.6473864,216.5321873,0.266666667
9,9,121.1553755,220.7114618,187.1773354,226.0811648,341.1789261,209.2350506,469.5530155,219.2442505,530.1866704,215.0619321,0.3
10,10,122.0599034,222.7430853,187.628011,227.1084092,344.4860205,211.5705667,472.1790326,221.6494113,534.1146694,216.2941038,0.333333333
11,11,121.5296341,220.7161525,187.7345756,225.3423251,343.3095355,209.7141086,466.6846088,220.2348683,532.50526,215.1592544,0.366666667
12,12,121.4539512,222.2129495,189.3670279,226.0778078,344.1302197,211.7384962,470.7927367,220.3318488,533.5313791,217.553205,0.4
13,13,121.5766969,220.504138,188.7309843,224.8717741,343.0163406,210.9538579,465.9104507,219.8237374,528.7672815,216.7017544,0.433333333
14,14,122.1962181,222.451148,188.8926194,226.0613164,344.3822645,212.2864043,471.0670877,220.6349416,533.5491716,217.7209704,0.466666667
15,15,119.6414406,220.6055364,189.4905388,225.296925,341.7820556,210.9111512,465.7249187,220.0987262,526.7012617,216.8153474,0.5
16,16,122.4716728,222.9259464,190.0713882,226.7298742,343.7030822,210.8667715,469.5810045,220.7464445,532.7429581,217.5328779,0.533333333
17,17,122.3177955,220.9492892,188.1931486,225.9334603,342.9057603,210.3733981,466.2125375,219.7573186,525.6268837,216.3227898,0.566666667
18,18,121.3821156,223.6195205,191.2269965,226.2332911,344.7603015,211.7686218,469.2571144,220.0255061,528.4623491,217.9820249,0.6
19,19,120.8559825,222.3976403,188.5951012,223.9393977,340.982853,209.6516696,467.6605609,218.2016627,526.5289774,216.9293312,0.633333333
20,20,121.7416244,223.4541548,189.1000946,227.8073494,345.1997356,211.8813409,470.0629356,219.9792654,527.7716872,218.7228218,0.666666667
21,21,120.7821024,221.7155139,188.6506869,224.9753084,343.0525312,209.7078766,467.111046,218.683076,523.4981442,216.8093578,0.7
22,22,121.9675326,224.7613904,190.2782821,227.157978,345.3583491,211.0038584,468.8879477,220.1295248,523.8218696,217.723369,0.733333333
23,23,120.6806127,222.9627523,188.4540477,226.1588489,342.7617767,209.9969601,466.5804932,218.3087759,523.2569436,215.7552655,0.766666667
24,24,123.7752677,224.6227268,190.1559461,227.5334331,344.4667187,210.9001462,469.8550822,220.2782349,522.2769386,217.7640119,0.8
25,25,122.0158815,220.2824665,187.6198265,226.0779217,342.3822363,210.234056,466.4594124,217.6471908,517.2591802,218.3873763,0.833333333
26,26,122.7045555,222.4967539,190.951996,225.4788531,345.3017984,211.4694754,467.9367684,218.431961,520.6099105,219.7418133,0.866666667
27,27,122.0613237,221.2980865,189.1461935,224.6564933,342.7965682,210.6615096,465.8300982,218.5546945,512.9388687,221.3503665,0.9
28,28,120.1657238,223.95052,189.7846088,224.4492608,344.9322152,212.4451351,470.5784741,219.2426238,515.3345687,221.5108605,0.933333333
29,29,121.5163795,220.8916042,188.2100651,224.170158,341.0524618,211.1908091,465.9410309,217.1743547,511.8850967,220.2991328,0.966666667
30,30,122.4886157,223.9751249,191.066603,224.9252763,345.5182307,211.5893386,468.9275775,218.1406155,514.3790354,223.9357605,1
31,31,120.3072128,222.879236,189.3025108,222.457191,342.3692625,209.6253876,465.8062996,217.5665272,509.4779914,222.2870295,1.033333333
32,32,121.0773692,224.8632969,189.9565261,225.6130574,345.5672467,211.5893163,468.5419698,218.3286348,511.9609049,222.7222815,1.066666667
33,33,122.1269332,223.8110442,189.1724204,223.8800569,342.2710026,209.1906422,464.9475225,215.9419915,506.2524702,221.8432922,1.1
34,34,121.5691475,223.8307383,190.1968459,224.6223044,345.55436,211.480364,467.0757588,218.3456467,508.3286442,225.4472142,1.133333333
35,35,120.7459716,223.0901995,188.7992637,222.9974516,342.5118636,210.335071,463.7383584,217.2061152,504.4100422,223.7294942,1.166666667
36,36,122.874852,224.2214081,190.8426004,225.8747557,344.4598211,212.1068872,465.7804451,218.4800984,508.5338711,226.2777415,1.2
37,37,122.7980274,221.5971961,188.7296029,223.2930629,341.8455501,210.9003654,464.3664441,215.6625791,504.2613986,224.363307,1.233333333
38,38,122.9628703,223.2966809,191.0458903,226.2744752,345.7382987,210.7560087,465.8376123,218.0034136,506.2965362,225.7619551,1.266666667
39,39,121.3750408,222.0415285,188.8976299,224.231172,341.4844099,209.7255031,462.1255237,215.8245373,503.131744,224.7738002,1.3
40,40,122.9447865,225.6794283,191.0848444,225.1125647,344.3825761,210.883091,463.6291169,218.4937124,506.898921,224.9993342,1.333333333
41,41,122.0187927,223.9928877,188.9185057,222.97638,343.5129154,209.1586529,464.0102292,216.5427711,500.8701656,222.4380037,1.366666667
42,42,122.6729068,224.7124822,191.3702801,225.5938141,344.7106057,211.2744009,463.3936482,217.7333807,504.4148576,226.8378302,1.4
43,43,121.9505224,222.4862436,190.1548901,223.9481616,341.5754053,211.273898,461.3372409,215.1679834,503.5921476,222.4964779,1.433333333
44,44,123.0694985,225.6105748,190.5158978,225.3835392,345.1129068,211.2016056,463.9307875,216.1557977,504.4914522,224.7862699,1.466666667
45,45,122.8831528,221.1923406,190.1883679,224.4270868,342.655819,209.9793861,460.4932748,215.2599361,502.3700126,223.0162772,1.5
46,46,124.1539327,224.3573904,190.4530393,225.3774641,345.6792062,212.1077961,463.9740506,217.1445961,505.7911269,223.8594886,1.533333333
47,47,123.2741356,222.1747763,188.8158044,224.4912024,342.9465358,209.9701142,460.3862254,215.8063151,501.9346197,223.0859409,1.566666667
48,48,123.1759223,223.5674504,190.4034347,226.0873751,345.9794761,211.1435805,463.6434391,214.2896115,507.8141324,224.0236218,1.6
49,49,122.3061841,221.3900696,189.3283738,223.559295,343.1303723,209.3417293,458.6169327,212.9811934,507.2658738,221.7270613,1.633333333
50,50,122.8197036,223.5365509,191.2879109,224.6401103,346.027404,212.8720328,462.6496961,214.0186354,511.7290875,221.3703813,1.666666667
51,51,121.575812,222.2856229,189.5710266,222.7630237,343.1383124,210.8246322,460.7104401,213.6555437,507.3292648,220.9185576,1.7
52,52,122.7327105,223.9141419,191.6578654,225.0642679,344.6313383,212.1262883,461.2263267,214.138361,510.9391454,219.3466351,1.733333333
53,53,121.2931261,221.7519137,191.3877349,224.5372383,342.6418509,210.1592558,456.8559624,212.7446282,508.7999009,218.0577957,1.766666667
54,54,122.6554349,222.2637011,190.9004232,224.3406194,346.4128172,212.4107154,461.8513493,215.0346295,517.5106726,219.3103104,1.8
55,55,122.5534472,221.6228836,189.0952374,222.4001425,344.0981766,210.8997351,459.5613145,214.7412858,516.8524264,215.0824645,1.833333333
56,56,123.4600658,222.777233,193.2540191,223.5513343,345.4423677,212.7664051,461.3503876,214.6482003,517.7902573,216.4209388,1.866666667
57,57,120.4791992,220.8558916,190.8474288,221.9064295,341.9653753,211.0226203,457.9244948,214.6991202,519.5613546,214.1545882,1.9
58,58,122.6859916,221.3746244,193.9927884,222.4976644,345.9545299,212.0497727,461.23773,215.7741692,520.976316,215.7658339,1.933333333
59,59,121.7248922,220.1207891,189.9158504,221.3888814,343.3368723,211.2526974,456.604429,214.1924242,520.465444,214.2931057,1.966666667
