,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,122.7746582,215.9259186,180.9178314,221.9086304,329.7228699,211.8388977,450.0931396,211.7250671,513.3518677,214.7567139,0
1,1,121.129921,215.8336639,179.9402161,220.9032593,329.4553528,212.0371552,449.5280762,211.7279053,515.9631348,213.9725494,0.033333333
2,2,121.5236206,216.0306549,179.9488831,221.5764618,329.5044861,212.391861,449.9526672,211.0656128,516.8669434,214.5691376,0.066666667
3,3,121.8711014,216.003418,179.3229828,220.86203,329.6489563,210.5595093,449.9490967,211.1715088,518.9820557,213.2809601,0.1
4,4,120.6598511,216.2353363,178.9033966,219.711731,330.063385,212.0334778,450.2454529,210.8653259,521.7496338,212.2810059,0.133333333
5,5,119.2213821,214.4340668,179.5080872,218.0746613,330.8501587,211.6549225,450.2606201,212.5943604,522.7858887,212.0292664,0.166666667
6,6,121.2317276,214.3815155,179.5428925,218.3247375,329.1748962,212.1403046,450.0101318,211.1975708,521.7161865,212.0943604,0.2
7,7,120.2512741,215.5279236,180.7878571,219.7080383,330.5034485,210.7915649,449.4701843,211.1791992,524.1298828,210.5822601,0.233333333
8,8,119.1603088,215.436554,181.0351563,219.565506,329.9608154,212.2158508,450.0789185,210.3628235,526.2678223,210.139679,0.266666667
9,9,118.7895889,214.4414215,182.2760773,219.2428284,329.8126221,211.6863251,449.1397705,211.3205872,527.2124023,208.4685364,0.3
10,10,119.2845764,215.2541199,183.8145294,220.0596161,329.962738,211.2856598,449.6167603,211.6981506,527.5192871,209.7190552,0.333333333
11,11,118.7739944,216.0667572,183.0476227,222.1264954,329.4819336,212.5303345,450.6498718,210.056839,529.9086304,208.80159,0.366666667
12,12,119.1499634,215.9528656,184.7799835,221.4258881,328.550293,212.6588745,449.9640503,210.5126648,530.65979,208.468689,0.4
13,13,117.787674,215.9309082,184.710495,221.7034912,330.1713562,211.0474091,450.4848633,211.600769,531.338623,208.4387512,0.433333333
14,14,116.2433701,215.6464081,185.7518005,221.5864868,328.7569885,213.0088043,449.3007507,210.6186829,533.6917114,208.1674805,0.466666667
15,15,116.846199,215.2436829,189.0055084,222.0982819,328.7521667,211.2537842,450.0726929,210.1665039,534.0250854,208.4131165,0.5
16,16,115.2805939,215.2866516,190.1725006,222.8074036,329.9736938,212.8483582,450.7037354,210.2620544,536.5518799,207.4835968,0.533333333
17,17,114.8763275,215.8733673,192.2411652,223.977829,329.5153503,211.9975128,450.4216614,211.4329834,536.614563,209.6212158,0.566666667
18,18,114.1973343,215.2749634,190.3551941,223.5611725,330.1838074,212.1404572,450.457489,211.2097321,537.1790771,208.2276459,0.6
19,19,115.7559662,216.0686798,193.9495697,225.8896332,329.8369446,212.0642548,450.695343,209.5515137,537.6491089,207.9290771,0.633333333
20,20,114.9719162,215.2762451,194.7774658,226.9938202,328.4660645,212.5096588,450.6063843,208.0593262,539.9041748,207.6567383,0.666666667
21,21,115.4652023,216.5511932,197.0726624,227.4644623,329.6177368,212.3520203,451.3864136,209.8309631,539.7678223,207.987854,0.7
22,22,114.6738663,215.7090302,198.8374786,228.6028137,329.8912354,212.3000031,451.4912415,209.6857605,542.303894,208.0220642,0.733333333
23,23,115.0331116,217.2581482,199.7381439,230.3830109,327.6132507,211.8298645,450.3033142,210.8777466,542.9396973,208.7157593,0.766666667
