,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,109.5174866,215.9021912,199.6591797,217.2110443,341.7294617,212.3010254,453.0617981,209.4182434,518.5698853,210.1599274,0
1,1,108.3856812,216.9714966,199.7302094,218.1884308,341.6830444,212.63797,452.9988403,209.3084106,521.4328613,209.071991,0.033333333
2,2,110.2345505,216.4072418,198.1481628,217.4221954,341.595459,210.9115601,452.993927,208.0372162,525.1677246,207.825882,0.066666667
3,3,108.7963181,217.0046692,198.8112335,217.9646606,341.7598877,211.2507172,451.8337402,206.6440887,526.0187988,209.7004089,0.1
4,4,110.9841614,216.2667236,198.3679504,217.5856476,341.9816589,212.3452148,453.4957581,207.2331848,529.9331665,208.825943,0.133333333
5,5,110.1849976,216.799057,199.8603516,218.2647552,341.8881836,212.7894592,452.416748,206.6842041,532.999939,207.8510437,0.166666667
6,6,111.4948959,218.1869507,198.1360321,219.4702911,341.4398193,212.3513947,451.7541199,207.7774963,536.0372314,207.6361084,0.2
7,7,111.8643951,219.648941,197.9698639,218.0326843,340.6633606,212.9330139,452.6044617,209.3750305,538.7150269,207.0627747,0.233333333
8,8,113.1151505,220.0263977,199.3759918,218.312912,340.4954834,212.6938782,453.3413391,208.7578735,540.2870483,208.2479248,0.266666667
9,9,113.4755173,219.445343,199.1626587,217.9924011,340.3137817,213.1245728,452.7570496,209.4215546,540.9334106,206.9573975,0.3
10,10,113.9512405,221.5066528,200.2163544,217.7771149,340.5506897,212.0943604,452.3193359,209.6273956,541.7456665,209.0328522,0.333333333
11,11,115.0559387,220.737915,198.0040283,218.7089539,341.7059326,213.2232361,453.3374023,211.6256866,543.9177856,208.9892578,0.366666667
12,12,115.4876938,221.1145172,198.3911896,220.4480896,340.4746094,212.7757874,452.4598389,211.8753967,545.4138184,209.1475677,0.4
13,13,116.0968323,220.9476929,199.639679,219.8201447,341.243927,213.4541626,452.4434509,213.9686279,547.2266846,210.3310699,0.433333333
14,14,117.7081299,223.9339752,198.8133087,221.7032623,341.3684082,211.7518311,452.6166382,214.684967,546.1306763,212.2668762,0.466666667
15,15,116.4234772,223.2128143,198.9608765,221.0948486,341.109314,211.587738,453.4377747,216.1941833,545.7717896,210.6346741,0.5
16,16,117.735405,224.3887482,199.8594971,222.9167633,341.0735474,212.0370789,452.2020874,216.1419373,545.4428101,212.1845551,0.533333333
17,17,118.5367508,222.3359222,200.5708618,222.9764404,340.6460571,212.3405762,452.0383606,216.3727875,544.6504517,213.4745636,0.566666667
18,18,118.3854141,224.1676636,199.2858429,223.1327057,340.9385986,214.0498505,453.3006287,216.9746094,545.5822144,212.4371185,0.6
19,19,119.2026367,225.3359833,198.8788147,223.5615845,339.0952454,212.8297577,450.9538574,218.3807678,543.684021,212.8182068,0.633333333
20,20,120.1363831,225.3786011,200.690506,223.1731415,336.9358215,214.2333221,450.9469299,218.4976349,543.7556152,213.7812195,0.666666667
21,21,120.0604782,225.4109192,200.6399536,223.2934265,336.9830933,214.2828979,451.0216675,218.3042908,543.8470459,213.9024048,0.7
22,22,119.6744843,224.5291443,201.2814178,222.3499603,337.0524292,216.8114166,452.4238892,219.0352783,543.4428101,213.680191,0.733333333
23,23,120.8923187,223.3725433,201.0621338,223.2255554,338.4524536,214.8963776,452.2297974,219.1908417,542.1304321,212.4300537,0.766666667
24,24,120.686409,223.496582,202.9814758,223.443634,338.9765625,213.9963379,451.8619995,221.0764313,540.3575439,211.7683105,0.8
25,25,121.015831,221.7962646,203.5549774,222.7095184,339.001709,212.9651337,453.2505493,221.0650787,539.9451294,211.6962738,0.833333333
26,26,123.4230804,222.661377,202.8472748,224.0752411,340.0570984,213.0217743,452.9004517,222.3288422,539.199646,211.6897278,0.866666667
27,27,123.0611801,221.1049194,202.9738312,223.75914,340.1119995,213.2053833,452.2739868,223.0774689,539.4577637,211.0413361,0.9
28,28,122.7127914,221.7532196,203.3055573,224.9629364,338.5264282,215.364624,453.6527405,221.1841278,537.276123,209.3308411,0.933333333
29,29,125.659111,220.1662903,203.9088135,221.7551575,339.0185242,213.5423431,452.4664612,220.5229187,536.6449585,209.6575775,0.966666667
30,30,127.6385498,219.176239,204.1168518,221.979126,340.6074219,214.2711182,451.7985229,219.4488678,536.1615601,209.3293762,1
31,31,128.5363617,219.3242798,204.1700592,223.1287231,341.75177,213.832077,452.1389465,218.6560211,534.1345825,208.6217499,1.033333333
32,32,129.7532654,217.7366638,204.7784882,221.4844208,341.9136353,213.5779266,450.8457642,217.2571564,529.152832,208.6464996,1.066666667
33,33,129.2052765,218.2881165,204.5072327,222.7358093,342.3000488,214.2214966,451.2903442,218.5176392,530.536499,209.2337799,1.1
34,34,131.8976135,218.4932556,205.1435394,221.8818817,342.106781,214.4771423,452.9953918,218.5086975,526.5953979,211.0551758,1.133333333
35,35,134.2757568,221.009552,206.0741425,222.6057129,342.3295898,214.183075,452.3236084,217.0748596,526.0513916,210.9452515,1.166666667
36,36,135.9875183,221.2649078,205.5901184,220.8557129,344.1044312,214.0836182,452.7724609,217.9650726,522.2132568,214.0404205,1.2
37,37,138.4420624,223.9795532,206.3578949,220.6334534,343.1887207,214.2658081,452.8110657,216.7084351,518.4096069,214.8879242,1.233333333
38,38,140.0032349,223.5546112,206.0737457,221.2802582,344.6648254,214.6042328,453.0805359,216.6214142,517.4508667,217.9703369,1.266666667
39,39,140.7007751,225.1456146,205.8626251,220.7862549,344.625061,213.1868896,454.2690735,215.2206726,512.7182617,218.8216248,1.3
40,40,140.5816345,225.3412628,204.7599945,222.3457031,344.6865845,214.3010559,454.2491455,216.774231,512.619873,220.2606812,1.333333333
41,41,142.6671753,225.3817749,206.1855316,221.6248627,344.1224365,213.9647827,453.8057861,216.6346741,509.3792419,220.2424774,1.366666667
42,42,144.3262024,227.5276337,205.5839996,222.604599,343.7737427,213.3078308,453.9898071,215.0193481,508.8314514,224.4653015,1.4
43,43,145.342453,227.5700073,205.9311066,222.0791779,344.4781494,213.8040771,453.8322144,215.6202087,507.3758545,227.3535461,1.433333333
44,44,147.5674591,228.7788391,205.5923004,222.5354767,343.5700073,213.7101288,452.9400024,215.1798706,505.53479,228.6444092,1.466666667
45,45,145.9330444,227.5975494,204.7684631,220.7398376,343.8569031,214.1934662,454.0730286,215.4504089,504.5649414,228.9400635,1.5
46,46,145.9993591,228.9785919,205.2064819,221.1799622,342.9089661,214.2569885,454.8198547,215.1444092,504.5672607,229.2629242,1.533333333
47,47,149.3890839,228.9242096,204.1383209,220.4834595,342.3015442,214.1668854,454.5600891,214.9660034,503.3708191,228.7067261,1.566666667
48,48,147.0808563,227.6352234,204.7735748,221.4837799,339.3746033,215.0511627,455.183197,213.6443481,503.1789856,229.3128967,1.6
49,49,147.1983795,228.098465,203.0963135,221.299881,339.5459595,215.8025208,454.9536438,213.6808319,502.4812317,229.467865,1.633333333
50,50,148.4881744,227.9586945,202.66362,222.7734528,338.7483826,217.8812714,455.0486755,213.1119537,503.3821716,227.2059937,1.666666667
51,51,149.3076782,228.0278015,202.4437103,222.2156372,338.878479,218.8937836,455.0374756,213.0005798,503.0866699,226.758255,1.7
52,52,149.3421173,228.0403748,202.4465179,222.4240417,338.3634949,219.708313,454.9073181,212.8092804,501.6277466,226.9501343,1.733333333
53,53,148.4412689,226.4945526,202.3613586,224.680069,338.637085,221.2388306,455.1204834,213.2718048,502.6575623,227.7984314,1.766666667
54,54,148.5949707,226.408783,201.8069153,225.0470886,337.9006348,223.3931274,454.6490479,213.8364868,505.1281128,225.0624237,1.8
55,55,147.4798584,225.5458374,201.2619781,224.7475433,338.383667,224.5525055,454.5339966,213.8379669,505.1200562,224.9185638,1.833333333
56,56,146.5835876,224.8418579,203.3342133,225.6694794,337.4607544,226.4698181,453.8534546,216.1185608,506.9055176,224.2693176,1.866666667
57,57,145.7415771,224.9093018,202.3291168,226.7807312,338.4718933,228.2655182,452.036438,215.8497467,508.5707397,222.8400421,1.9
58,58,144.7317963,224.8275604,201.8189087,226.7602844,337.6512146,228.070343,452.0993042,216.4176788,506.8273621,221.0396423,1.933333333
59,59,144.9580536,224.1325378,201.0618744,228.5149231,338.3196411,229.2199097,450.6444092,215.9881287,509.53125,222.2305145,1.966666667
60,60,145.5043488,222.8788147,201.4359894,228.2986908,338.1712646,228.442749,451.9958191,216.5418243,511.0014343,218.5886841,2
61,61,144.4298859,222.0846863,200.264328,229.9105072,339.0299072,229.267334,450.0258789,216.5024414,515.3555298,216.6160583,2.033333333
62,62,143.6281128,221.8582153,201.2266541,229.8966522,339.4212036,229.7799377,448.7288818,216.7185516,516.4810791,216.8634491,2.066666667
63,63,142.9873199,221.4660187,199.1709747,228.8652649,339.4985352,229.2915955,447.6272278,216.8347168,519.5957031,212.1298065,2.1
64,64,142.2910156,221.1048584,199.4116974,228.7494049,339.4015198,229.7094574,447.2839355,218.5624084,519.0455933,212.3220367,2.133333333
65,65,140.8322906,218.9553375,198.7960663,230.3360138,339.7608032,229.1720734,447.5434875,216.0747375,521.5742188,212.127594,2.166666667
66,66,138.5316162,219.324234,199.6068726,228.385849,341.505249,227.9361267,447.0464478,216.844223,525.4729004,212.535553,2.2
67,67,138.8354492,218.672699,198.3851166,229.4381409,341.3713989,226.6798401,446.0562134,217.5528107,528.1176147,210.2721252,2.233333333
68,68,136.4527588,218.2667542,198.6881866,227.4616699,342.2596436,225.8336945,443.5181274,218.1761017,531.9349976,207.9792633,2.266666667
69,69,135.139679,217.5021057,202.0857391,226.9072571,340.9450073,225.5992737,442.6859131,217.6830902,533.6011353,205.8795013,2.3
70,70,135.1949463,217.4392853,200.1143036,226.2016907,342.0145569,225.6124725,442.6523743,218.2342377,534.7061768,206.5078125,2.333333333
71,71,134.9509125,217.1894073,201.9442291,225.1022644,341.3928223,223.7785797,441.3960571,217.9882813,536.6688232,205.3822479,2.366666667
72,72,133.7171631,217.3457031,200.8622742,223.5002441,341.3902283,222.5723724,441.4585876,218.5766449,539.2850952,206.5403748,2.4
73,73,132.8415222,215.8097687,202.1661377,222.7698517,341.1704407,220.6018372,439.5891113,219.0047302,542.8869019,206.2138062,2.433333333
74,74,129.7403412,215.1617737,201.6490173,221.6232452,340.9205322,219.9208679,438.5177002,218.0130005,545.4407349,205.381012,2.466666667
