,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,129.4761333,217.8158406,186.3245509,227.0870777,339.0501983,212.4649652,466.6030388,208.800329,516.0354174,209.4520814,0
1,1,128.482732,218.030343,185.0249644,226.5327793,339.7339311,213.050698,466.1129493,209.6198872,517.3175528,210.4501539,0.033333333
2,2,129.3218654,217.8044842,185.6600534,226.3268371,340.5323919,212.5951144,467.1473447,209.2574978,518.4317322,209.8553643,0.066666667
3,3,127.289781,218.5146984,185.8851416,225.2076334,338.0309239,212.929697,465.4323561,209.841926,520.1574225,209.9083376,0.1
4,4,127.2478177,217.7610554,185.91513,224.2218733,339.0198029,212.7165139,466.0955127,209.5677341,523.1268523,208.9281765,0.133333333
5,5,126.3137225,219.209133,184.3414902,224.1244438,338.0941846,213.2865445,464.9010886,209.516879,524.0512299,208.3200504,0.166666667
6,6,125.0779788,218.3288769,184.6956348,222.8893143,340.5610155,212.6623689,466.5583774,209.6748961,527.0180687,207.3800131,0.2
7,7,123.5875619,217.9777545,184.2791899,223.9463331,338.2916797,212.802403,465.561164,209.6611576,528.3809412,208.4476956,0.233333333
8,8,125.6463185,217.3924363,184.6778711,223.4973788,338.925501,212.6128579,466.6926974,209.8634128,529.2676305,208.2500071,0.266666667
9,9,124.2216623,217.5946203,182.7342581,222.1453701,338.2755521,213.4945771,465.651802,210.1729146,531.9207328,207.1058705,0.3
10,10,124.5220875,216.4921839,183.5162797,220.6797036,338.4859444,213.1374945,467.6896956,210.6496132,533.3257617,206.8623581,0.333333333
11,11,123.2342474,216.7789403,182.3584746,221.0375129,337.8439773,214.2032929,466.6906181,210.6702376,534.1506784,206.4465204,0.366666667
12,12,122.6515971,215.6949473,182.0725004,219.0237837,339.265929,212.8135542,468.8411144,210.0895659,537.1790374,205.594889,0.4
13,13,121.7176,216.3315329,181.4149306,219.3684413,337.567734,213.2874457,467.3827354,211.4760353,538.4466711,205.9101111,0.433333333
14,14,121.7666798,215.7169742,181.9077697,219.0497739,338.0659998,212.9539319,468.1458398,211.1762009,539.557451,205.4753645,0.466666667
15,15,121.6208264,216.5018233,181.1777108,218.7546842,337.7178523,214.1893782,466.8831744,211.7875953,539.2372615,207.8264237,0.5
16,16,121.5953737,215.46759,181.146832,219.5690753,337.7200426,211.8136853,467.2413107,211.7898445,540.1492288,206.4329935,0.533333333
17,17,120.262887,216.5322339,179.8610813,218.2407889,337.3229839,213.3356812,464.4658858,212.7386492,540.7094817,207.8838236,0.566666667
18,18,120.8534369,216.0258234,179.3084934,217.5758313,337.0114795,213.0200126,464.6562697,213.0837915,543.1317004,206.1039467,0.6
19,19,120.9035192,215.9826736,179.6067278,217.2283639,336.3903237,214.0739217,463.2289038,215.226089,543.8725752,208.9348461,0.633333333
20,20,120.9899792,214.7287666,180.5188853,217.7548665,336.7023939,212.8722571,463.2885093,214.2680462,545.2262612,207.5389117,0.666666667
21,21,120.3602398,216.1582183,180.1054656,218.0740726,335.8168011,213.2489857,462.2688358,215.1166351,545.0223642,208.4762276,0.7
22,22,120.4402586,215.5817793,179.4406139,217.5261983,334.5497917,214.6619847,461.2526009,216.1369639,544.9398422,208.8627818,0.733333333
23,23,117.8110033,215.2529866,180.0645672,217.2471968,333.4496638,214.895192,459.9421853,217.6387165,546.0039256,209.6114406,0.766666667
24,24,118.5547003,215.2712381,181.2382471,216.909628,334.5469202,215.7597475,460.2305227,218.9256611,545.5660171,209.9895835,0.8
25,25,117.2276715,215.874121,181.0727438,217.9422882,333.8305692,216.2264933,457.4530692,218.7236932,546.5553755,208.6919888,0.833333333
26,26,118.3386718,215.7276752,181.5268503,216.3642755,334.9937778,215.6536831,457.7350182,219.3454679,547.7258896,209.2674823,0.866666667
27,27,118.0807528,216.200283,181.0650611,216.8729673,334.4639683,216.1939595,456.7923842,219.7398603,546.7470172,209.7623177,0.9
28,28,118.3341049,214.8910645,184.5479042,217.0996691,333.3078589,217.1166351,457.8564164,220.6969441,548.1562512,208.9492126,0.933333333
29,29,118.0251672,216.0247689,185.5285192,216.3488689,333.5062173,217.6836527,456.7910427,222.0386045,548.1866772,210.2990172,0.966666667
30,30,115.7248011,216.1576494,185.1900404,216.2222515,333.3484268,217.0252502,457.5671259,221.2755123,550.6728644,208.410994,1
31,31,116.141227,214.8667823,185.6287606,217.9509638,333.6888958,217.1217358,456.9164665,222.6176895,549.956634,208.7757364,1.033333333
32,32,116.2510379,215.6896121,186.2070629,219.2291141,334.4147997,216.5959924,457.6571817,220.8572603,552.2638704,207.6452658,1.066666667
33,33,114.6296556,215.7351119,185.6938353,218.9243025,334.2978748,217.0477025,456.1329185,221.6071127,549.5058523,208.9028775,1.1
34,34,115.1311599,215.6042788,188.5109545,220.0969282,336.0661076,215.9521666,459.4047466,221.2610614,551.1520419,209.2196633,1.133333333
35,35,114.6335961,215.3638609,188.9740753,220.1325561,337.080063,216.220903,458.0691823,220.7782512,551.3054425,209.2091069,1.166666667
36,36,115.4951481,216.2059104,190.1297744,220.9426088,340.7714613,217.0436949,458.8930965,219.7581408,552.6550693,208.0227566,1.2
37,37,112.6929575,216.6270094,191.1061421,221.624632,340.5912882,216.4865645,458.2925,220.1763162,550.9858162,208.6385907,1.233333333
38,38,113.3677635,215.226666,191.1510431,222.883598,344.1899765,216.1557592,460.6943344,218.1164583,552.1131461,207.8940402,1.266666667
39,39,113.197907,215.7012188,190.7853573,223.3261762,343.5942942,216.3351528,459.7847196,218.7458711,551.0070961,208.2765499,1.3
40,40,112.3258367,214.9835927,193.9046637,223.1529055,344.7880471,214.6816031,460.9121424,218.2584518,553.1869116,206.4563009,1.333333333
41,41,112.0979263,216.7501945,193.9725508,222.8574004,347.1256714,215.0165137,459.4907024,218.2409263,552.2131033,208.3175302,1.366666667
42,42,110.3237756,216.1469637,198.2030863,223.9773061,349.6864648,214.9488222,460.2152487,217.5884072,553.5434079,206.5027175,1.4
43,43,108.6261741,216.8433662,198.7235629,223.4327432,350.7824419,215.3890783,459.6837465,216.6436733,550.5070474,208.082875,1.433333333
44,44,109.1931371,215.4067379,200.1293728,223.0333047,351.3751024,213.5423931,461.1373735,214.8764002,552.4398885,206.321167,1.466666667
45,45,108.0719804,215.7927103,200.1197788,223.8906592,350.6754018,213.6952781,459.4326551,214.4009849,550.7842357,206.5975655,1.5
46,46,107.3791912,215.1973832,201.604968,221.92478,353.1473808,214.0408261,460.3982012,213.8753423,550.5056442,206.4734499,1.533333333
47,47,106.9146229,214.9872792,204.1950909,223.8348173,354.2344612,213.0103287,461.6953742,214.188752,549.8909039,208.0835318,1.566666667
48,48,107.2646587,216.0445272,206.6276248,222.4376333,353.6445816,213.2336964,462.9454542,213.2714699,551.2457634,205.6753444,1.6
49,49,107.4573688,216.4557262,206.7338399,223.4432059,353.6055132,213.2144358,460.5706761,214.0313224,548.4011232,206.0385048,1.633333333
50,50,107.7200545,215.6582104,208.710898,224.2730153,353.9635037,213.2970638,462.6568358,213.309533,549.4301068,206.2566411,1.666666667
51,51,107.3964786,215.9467949,208.2312118,224.5669329,353.1489695,213.7434066,461.7644579,212.2778617,548.3597827,206.5831315,1.7
52,52,105.9805542,216.108611,209.5492905,223.3815737,354.0720411,212.4612915,462.2433978,211.3789704,548.6433712,206.4911781,1.733333333
53,53,106.0693311,215.1623351,210.0136988,222.7424174,353.3940549,212.3586309,462.3618214,212.0767636,547.1156667,207.3750298,1.766666667
54,54,106.9504945,214.8831378,209.9275829,221.964093,354.0120141,212.3173011,461.7259131,212.9546331,547.9314783,206.4157074,1.8
55,55,105.508674,215.0643062,210.685405,222.768368,353.2880819,212.5855116,462.3688943,213.5568494,546.3431246,206.4935798,1.833333333
56,56,104.1159061,214.2102884,210.0513637,222.2515555,352.8268701,211.220087,463.4964502,213.3409194,545.5064483,206.9795656,1.866666667
57,57,105.7953972,214.9771983,209.8779857,222.9895667,351.2821553,211.9131174,461.5200126,213.9466736,544.3590267,207.2362651,1.9
58,58,104.7698339,215.723849,209.4662302,222.8880339,351.9076474,211.4997144,464.3793207,212.0988461,546.8711539,205.219014,1.933333333
59,59,105.9842493,215.7491793,207.8908238,224.0070474,351.0608802,212.4943255,462.8815038,214.0395093,544.0492172,207.6619681,1.966666667
60,60,104.3584275,214.989995,208.3274736,223.3912838,352.1915003,211.3837873,463.4909821,212.7960851,544.2052216,206.3784674,2
61,61,103.4892264,214.4078429,205.7813936,224.1714725,351.0628314,211.7387031,462.7911706,213.9701193,543.0044257,206.979325,2.033333333
62,62,105.2580918,214.3011703,204.3161421,222.8077462,351.6349751,211.5037082,463.1387014,214.5334208,543.6878591,207.1613904,2.066666667
63,63,103.4792647,215.354895,203.9509657,223.5027595,350.1795602,211.7281182,462.2623116,215.1453351,542.5384005,207.5767542,2.1
64,64,105.1495238,215.7830701,202.5251072,223.3990732,350.4154951,211.0634445,463.1278263,214.4015033,544.2844634,208.2421719,2.133333333
65,65,103.784486,216.8344004,201.1508817,224.2881052,348.9865101,211.0308884,462.4363317,214.5818449,543.2877114,207.3395329,2.166666667
66,66,103.4647124,215.3538581,197.488994,224.0144393,349.6398484,211.638461,462.5733173,214.0417102,543.1156321,207.0411342,2.2
67,67,104.254726,216.2356577,195.0649022,224.6880103,348.693438,211.5511683,460.9279539,215.216451,541.9594512,209.541791,2.233333333
68,68,104.0577807,214.9515661,192.4081889,226.2683782,347.842429,211.292509,461.1687769,214.1890694,542.5625894,209.1794356,2.266666667
69,69,104.4653535,215.8055558,191.7499831,225.7365279,347.2825578,211.6285619,461.3404134,215.7327749,540.9878895,207.7853365,2.3
70,70,105.0118589,215.3201851,190.5337119,223.9873973,348.1812074,210.8028411,460.656577,213.7166572,541.6774889,208.2136665,2.333333333
71,71,103.9631706,215.6073597,187.6324617,223.6064091,345.866007,211.4974495,460.369248,214.1286486,541.231847,208.3623748,2.366666667
72,72,105.2098563,215.0476155,184.2287835,224.1967519,346.8784839,211.0862031,461.1412836,212.8240418,541.6090612,208.7580435,2.4
73,73,105.0140901,215.0558902,182.9308234,224.3007368,345.8898479,211.4828475,460.7011912,211.7506627,540.5771069,209.2584574,2.433333333
