,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,126.0384293,215.7034607,196.6337585,215.5801544,341.9521484,213.1365356,464.868988,205.2792511,505.6363831,220.6077881,0
1,1,124.679306,215.9708405,196.6659393,215.9238892,341.8313293,213.828598,465.0941772,206.9286499,505.2212219,222.3845367,0.033333333
2,2,124.9938049,216.0959778,196.6057739,216.0801239,341.8417969,213.8369598,465.0274048,206.8907166,505.2149963,222.4155731,0.066666667
3,3,125.3910828,216.023056,196.687439,216.566391,341.4575806,213.6363525,464.6949463,206.0711365,503.3282776,222.7767029,0.1
4,4,125.6008987,216.5080566,196.6321716,216.1697998,341.9749146,213.3665619,464.7298584,206.6295471,503.2688904,222.4911041,0.133333333
5,5,125.7349701,215.3567657,197.9764709,217.7430878,341.5062561,213.8728485,465.8782349,207.5880127,504.6986084,223.7566833,0.166666667
6,6,125.8705139,216.0876312,197.9488831,217.9208374,341.4404297,213.6333771,466.0606689,207.0831604,504.5419312,223.6178436,0.2
7,7,126.7569962,215.5353241,197.0382996,217.5094757,341.2867432,213.9667969,466.0133667,207.7346802,503.7472534,222.5202484,0.233333333
8,8,126.2981873,216.1677094,196.5557251,217.5129089,341.5038452,213.7615356,465.6598816,207.2992554,503.4768677,222.4393311,0.266666667
9,9,128.0675812,214.622345,197.1991577,217.5862427,341.2421875,213.5973816,465.9849243,207.4271851,503.5510864,220.7155762,0.3
10,10,127.9489975,215.8264923,196.9934845,217.2238159,342.2271423,213.294754,466.3719482,207.7102966,503.6406555,220.6879272,0.333333333
11,11,127.5171432,216.2435303,196.5269012,217.4149933,342.2287598,213.4573669,467.0820007,207.3298645,505.8692017,219.2160187,0.366666667
12,12,127.877182,216.6665497,197.6660461,217.9812775,341.315094,212.6380768,467.1245728,208.2403564,504.5249939,216.9758606,0.4
13,13,128.406601,215.063385,198.4317322,217.9793243,341.3718872,212.2959595,466.4899292,207.866684,506.009613,217.4164276,0.433333333
14,14,128.5256348,215.5343933,198.438385,218.0286102,341.286438,212.5301208,467.0511475,208.083252,505.9092712,217.6633759,0.466666667
15,15,129.0243835,215.4017639,198.6397858,217.7970428,341.4656677,212.7133484,467.1930542,207.7255249,507.6119995,215.0835419,0.5
16,16,129.5296326,215.548996,197.4445038,217.7893524,341.3208008,212.1119232,466.4906921,208.5205994,508.8450317,215.427002,0.533333333
17,17,128.9705353,215.6425323,197.8551025,217.8222961,341.2348328,212.4815979,467.3065186,207.7321777,510.9662781,213.7678528,0.566666667
18,18,130.1863098,215.1440125,198.5840149,217.8569031,343.2025757,212.4290161,467.6022949,208.9806213,511.7202759,214.3699799,0.6
19,19,130.8059082,216.3508148,198.3150635,218.1277008,341.5858765,213.3964233,467.453064,208.0332489,513.6380615,212.2318573,0.633333333
20,20,130.6795502,216.2229767,198.1672211,218.0968781,341.5639954,213.3738708,467.4647217,208.6465912,513.6366577,212.1367493,0.666666667
21,21,130.7291718,216.9100952,198.3099518,218.1003113,341.497345,212.6387939,467.1375732,207.9098358,516.5012207,211.6135101,0.7
22,22,130.837616,216.2587891,198.3016663,219.4605713,341.6028748,213.2667694,467.6437073,207.4776306,517.7652588,211.1020355,0.733333333
23,23,131.0862427,216.6279297,198.0858765,219.5808105,341.5599365,213.2614594,467.2201843,208.5190887,519.7055054,210.4230194,0.766666667
24,24,130.2989655,216.7712555,198.9514313,218.4659729,341.4236145,212.4611664,468.8005676,209.3139954,519.812561,208.8445892,0.8
25,25,130.8519745,216.8311005,198.8022766,218.5525665,341.5110779,212.5269928,468.486145,209.6099243,521.7971802,208.747467,0.833333333
26,26,130.1038361,216.7561798,198.2481232,219.033905,341.0551758,213.0713348,468.0528259,208.3620605,521.7525635,208.2993622,0.866666667
27,27,129.550766,216.6491394,198.7178955,218.8958893,341.1104126,213.1225586,468.2815552,208.3787689,523.2119751,208.7353058,0.9
28,28,130.8084717,217.0141449,198.8656921,219.4694061,341.7155457,214.256012,467.7030945,210.203537,523.8546753,208.5960846,0.933333333
29,29,131.2823029,216.6082153,199.5244904,220.7245789,341.2659302,214.2726593,468.48526,209.8579102,525.5198364,207.826416,0.966666667
30,30,131.3180237,216.301651,198.620575,220.1203156,341.2932129,213.1153564,468.694519,209.8856506,526.0783081,207.840744,1
