,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,127.4881423,220.5147354,187.3009369,222.9258513,336.1926538,207.2889844,461.8211438,208.5007736,547.4651245,202.3618854,0
1,1,126.0444054,227.0339787,184.1210568,228.2737007,329.8788583,211.6487395,453.3045282,213.089133,537.0707703,207.9898166,0.033333333
2,2,128.299297,222.9269238,187.0874585,224.1879744,336.6537622,206.6565935,462.426441,207.8477325,547.3949103,203.9792308,0.066666667
3,3,127.1278372,228.0590048,183.5007811,229.0667085,329.9298871,211.3393869,454.1359433,212.613091,537.2495068,207.3916394,0.1
4,4,129.8837407,225.4331181,187.1577498,224.6450125,336.4959189,206.9584305,463.0201489,208.0086438,545.6359174,202.9550002,0.133333333
5,5,127.2329462,229.9945197,184.7763487,229.8576512,328.6456787,211.9573831,453.352294,212.8534622,535.1023718,207.1941888,0.166666667
6,6,130.3592433,224.2141534,187.8275128,224.4647804,336.4341809,207.7325327,462.7117981,208.8672803,545.5193457,204.4565868,0.2
7,7,125.631213,229.342603,183.4079384,230.1305251,329.3958527,211.982103,452.8513422,213.3165433,533.6432336,207.3142126,0.233333333
8,8,128.8845595,224.6776117,186.8062471,225.6885187,335.9298282,207.95121,462.8837891,210.3523709,544.9293365,204.8912979,0.266666667
9,9,127.9987852,230.896039,184.8461847,229.7353619,329.2682657,212.0919553,453.4024164,215.7876343,532.2315894,209.5977934,0.3
10,10,127.3363788,225.6827481,187.9598195,225.5707356,335.8614325,208.0557903,463.2028354,211.653604,542.5522241,205.8566748,0.333333333
11,11,125.5961817,232.0620175,183.8820767,230.4480765,329.1630963,212.3105502,454.5399435,218.3373849,531.3988147,209.0936102,0.366666667
12,12,131.5965765,225.5082262,187.9274402,226.3561523,335.0895383,207.9102118,464.1279495,213.5438882,542.8634106,203.9806961,0.4
13,13,129.2661804,230.2298051,184.3046878,229.3984846,329.2116779,212.1547412,454.2336804,217.9631042,531.246665,208.713766,0.433333333
14,14,132.73483,225.3110902,188.0420854,224.4707625,335.6541187,207.7998761,464.0284845,214.4041864,542.0773071,205.7130602,0.466666667
15,15,129.8907916,231.6074281,184.5841978,228.7454892,329.1334882,212.1365096,454.9779327,219.6735513,530.5948627,210.6994449,0.5
16,16,136.632244,224.4374382,188.3154832,224.1089085,335.719278,207.7209009,464.8352393,216.5939209,539.1288025,205.8460703,0.533333333
17,17,131.9690424,228.768745,184.4298276,228.5588728,328.957229,211.9885141,455.2406598,220.8638644,529.4860675,211.27207,0.566666667
18,18,134.6087764,224.2205283,188.113548,224.0203711,335.5863086,207.8095139,464.3309482,216.4864403,540.0819653,207.2582281,0.6
19,19,132.3985117,229.3781725,183.4483928,228.2204852,328.7138379,211.4982166,455.2417474,220.763259,527.585647,210.8352499,0.633333333
20,20,135.0252997,224.1959958,186.9768819,223.9710796,335.2790674,207.0926491,465.8977921,214.9274048,537.7321619,206.7177585,0.666666667
21,21,132.2861064,228.3683112,184.0726868,226.3298021,328.6638364,211.7788577,455.9427054,219.5036409,525.6648029,210.4145964,0.7
22,22,135.1301125,225.1171266,186.018325,222.0806291,335.4057489,207.473416,465.6875192,215.7664032,536.1595233,208.2970061,0.733333333
23,23,130.4254756,228.1065952,183.516265,227.4262753,328.7371619,212.3403867,457.4588846,220.076266,525.3475726,212.2676295,0.766666667
24,24,136.5788589,223.6328366,186.8079886,221.7846382,335.3356271,207.545533,467.061351,215.2300273,537.2598956,207.1185411,0.8
