,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,c5_x,c5_y,t
0,0,121.6485825,215.0323486,202.9481812,215.2578125,339.7518616,228.3409729,459.5272522,216.1149139,547.9108276,205.3361969,0
1,1,121.3845139,214.7073059,202.8071747,214.3047638,339.7628784,227.3249359,459.0116272,213.1095123,546.6934814,205.7129974,0.033333333
2,2,121.7133713,215.781311,204.6186066,215.1239319,340.4321289,225.7140198,460.539978,210.9556122,545.2764893,206.0646667,0.066666667
3,3,121.1464005,217.0474701,202.5283661,215.9455872,341.8210449,225.7871094,457.1129761,209.2648315,544.7335815,206.4384003,0.1
4,4,120.9258347,218.3746338,202.907486,215.3973999,341.1230469,225.2742615,458.5392456,209.9429169,546.6343384,204.975235,0.133333333
5,5,119.0990067,217.5018158,203.9096069,214.7203064,341.15448,223.644928,456.6736755,210.9197998,545.3308716,206.1245728,0.166666667
6,6,120.7374878,217.6755524,202.7059326,215.2433777,340.7049255,221.8310089,454.5357666,210.9190216,544.6608276,205.3148956,0.2
7,7,119.3510208,217.3205566,202.5237274,215.0311127,341.3054504,221.777298,453.2022095,211.4227295,542.256958,205.7055664,0.233333333
8,8,119.7477646,216.0694122,202.2187042,214.855072,341.6997375,220.0497437,452.1462402,212.1858215,542.0011597,204.1768036,0.266666667
9,9,118.2740402,217.176239,200.9758911,215.31633,340.3612671,218.9416046,452.4718323,212.8085327,539.6774902,205.0493469,0.3
10,10,120.0098877,217.2058868,201.0742645,215.163147,340.618927,218.3549957,452.3051758,212.786438,539.5012207,205.1751404,0.333333333
11,11,119.93396,217.1107788,199.4719543,215.3786163,340.258667,217.4856567,451.2857666,214.4788208,538.0977173,205.2304688,0.366666667
12,12,118.7451324,216.762207,198.9480286,214.4589539,339.2596436,215.920105,451.9307251,213.1446228,535.949646,208.4174347,0.4
13,13,118.5554428,216.0609436,199.6164246,215.9580841,338.5753174,215.8089294,451.0182495,213.6252899,533.6870728,207.0029907,0.433333333
14,14,120.1960907,216.1369629,198.7901611,215.2748108,338.0703735,214.8931885,450.5186157,213.3688812,532.6914673,209.0270844,0.466666667
15,15,120.6906509,217.9756622,197.7202454,215.5065308,338.0661011,213.5411682,450.1328125,213.0206909,530.1638794,210.1876221,0.5
16,16,121.1251831,218.0161896,199.1126099,215.3774719,337.7025146,213.2107697,450.1484375,212.9991455,530.083252,210.2981567,0.533333333
17,17,121.8284912,217.0543365,197.9864197,215.1671753,337.7738647,213.1445007,450.0550537,212.5718994,526.7174683,210.9179382,0.566666667
18,18,121.0058517,216.4104309,197.413147,215.6855164,337.9330139,213.2567139,449.878479,212.3728638,523.2583008,211.3016663,0.6
19,19,122.1304016,219.4102173,197.6404877,216.7566681,338.2311401,213.0015411,449.0637817,213.0388031,521.4191895,212.86409,0.633333333
20,20,124.4253769,219.420639,197.9057007,216.7433777,337.079071,211.5128784,449.4946899,212.5180969,516.7600098,215.6316528,0.666666667
21,21,123.747879,219.2226563,197.1783295,216.8605042,337.7549133,211.245697,449.1999817,212.8639069,514.6862183,216.4947205,0.7
22,22,123.2947083,218.7647247,197.8365784,216.3710938,338.0791626,211.7831116,448.9446716,213.1714783,515.5150757,218.4060364,0.733333333
23,23,122.596611,217.8143768,196.7628174,216.2472534,338.3756104,211.5645447,448.5973511,211.6027222,512.7625732,219.0582123,0.766666667
24,24,123.1013336,218.2644348,198.107666,217.0126038,339.6954956,210.9970703,448.9977417,210.332489,509.7919006,220.7193604,0.8
25,25,122.9336395,216.4431458,197.3165741,219.0083771,340.1022644,210.8579712,448.522522,211.734436,507.7463379,223.0280457,0.833333333
26,26,123.497261,217.1295624,196.8948059,219.5826263,340.0393372,210.4945068,449.0517578,211.1805115,505.1985779,222.6733398,0.866666667
27,27,122.8976212,216.3145752,198.2274017,221.0092163,340.5319214,210.9302063,448.946228,209.1740723,506.2131653,222.2027435,0.9
