,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,105.4703979,213.2919769,218.8470001,216.7733765,421.9958496,212.1065979,477.5025635,213.5578613,0
1,1,106.7034454,216.1410828,219.7271271,216.7722015,422.0487976,212.1291656,477.5211792,213.8599396,0.033333333
2,2,106.373497,214.6991272,218.0048981,216.627533,419.7779541,212.1747742,477.484375,213.7959747,0.066666667
3,3,109.1569977,216.6890411,219.3673553,215.9346619,419.8796082,212.2199402,477.8249512,214.3039093,0.1
4,4,109.6606369,216.7689514,219.3858032,217.2651672,419.7283936,212.4098053,477.7293091,214.4003601,0.133333333
5,5,109.3576889,216.6097412,218.7927551,217.3723755,419.978302,212.7065735,477.6069031,214.3175812,0.166666667
6,6,107.7697372,216.4887238,219.6590424,217.3944855,420.0332947,212.5720673,477.4350281,214.4507751,0.2
7,7,109.6776581,217.9918365,218.0455322,216.6633759,420.1005249,212.5066833,477.5979614,214.6801147,0.233333333
8,8,109.7636566,218.5779877,219.7691193,216.7276154,420.3750305,212.4803925,477.4442444,214.468811,0.266666667
9,9,109.5482941,218.6429596,218.0826416,216.7698364,418.2254333,212.3963776,477.585907,214.7480164,0.3
10,10,109.4428101,219.5055084,218.3660889,216.6720886,418.1779785,212.2567444,477.4622498,214.9656372,0.333333333
11,11,109.5486069,219.4342651,218.4577789,216.6673584,418.1614075,212.237854,477.4820862,214.970459,0.366666667
12,12,109.8578186,220.7284851,216.2479553,214.6787415,417.8190308,213.1309662,477.3998108,214.0348358,0.4
13,13,111.3112335,220.3734741,218.2510376,214.8346405,417.8368835,212.9084778,479.4457703,213.7118683,0.433333333
14,14,110.7992554,220.7386322,217.6208191,214.5190277,418.0000305,212.8873138,479.4283752,213.8801727,0.466666667
15,15,111.2900162,220.7104492,217.7583923,214.8059387,416.3549805,213.0650635,479.3010254,213.634201,0.5
16,16,110.9637909,220.2047272,217.0162354,214.5202026,416.3475952,212.5085297,479.2939758,213.1623383,0.533333333
17,17,111.0028381,220.1679077,217.0150146,214.4960327,416.3359375,212.4286346,479.2744751,213.1272278,0.566666667
18,18,112.1076965,220.0132904,218.1043243,214.7454071,416.2754211,212.3057098,479.2381287,212.9870911,0.6
19,19,112.1788483,219.5827789,216.2256927,214.3771362,416.5339661,212.5969238,479.240387,212.5822754,0.633333333
20,20,112.1679993,219.4799805,216.2821655,214.3232574,414.5529785,212.4318848,479.037262,212.5110931,0.666666667
21,21,114.9976501,219.6424408,218.1823425,213.9225006,415.0596924,212.4635315,479.2909851,212.1409302,0.7
22,22,115.3647003,217.7137146,216.0576935,214.1326904,414.9081421,212.5213623,479.1908875,211.6734924,0.733333333
23,23,115.3610229,217.6881866,216.0501251,214.1576691,414.9005127,212.5221405,479.1914063,211.6769867,0.766666667
24,24,115.9086609,216.4643097,217.4860077,214.0416565,414.6942444,212.6529999,478.9049377,211.8571014,0.8
25,25,115.9412537,216.5680389,217.4950867,212.3861694,414.3620911,212.5617523,478.8422241,211.8489075,0.833333333
26,26,117.3374939,218.2966156,217.4124451,212.4471588,412.3325806,212.3452606,478.9264526,211.8791504,0.866666667
27,27,118.0313721,217.9044495,217.5426941,212.4375,412.3512268,212.2518005,478.9422913,211.7603149,0.9
28,28,117.9958649,218.3018951,215.8811798,212.6203156,411.8192139,212.3694763,478.9974976,212.0900574,0.933333333
29,29,117.9528656,216.1893158,215.7500763,212.5140686,411.8208618,212.4012299,478.9985352,212.0792999,0.966666667
30,30,119.4476013,218.3328705,216.1721954,212.628952,412.1033936,212.5402069,478.890686,213.9716034,1
31,31,119.9025269,220.4698029,216.3595734,212.5230713,411.7586365,214.157074,478.7129211,214.4794464,1.033333333
32,32,121.038269,218.8616638,217.1321259,212.6174622,412.1408997,214.3676453,478.6112671,214.8320923,1.066666667
33,33,122.6922989,219.8890228,216.9557495,212.6538239,412.1712036,214.6816711,478.9411926,214.6644592,1.1
