,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,101.6583786,211.5105896,231.6811066,221.1711884,424.7733459,208.9349365,483.9619446,212.4623108,0
1,1,99.73036957,211.7381287,230.0832825,222.6183472,425.39151,209.0207977,484.1264954,212.2295227,0.033333333
2,2,99.74411011,211.7437134,230.1496887,222.6156616,425.3843689,208.9768677,484.186676,212.1746979,0.066666667
3,3,100.9084549,214.4414673,230.6711731,223.9042358,425.3803406,207.6604309,484.024292,212.92276,0.1
4,4,98.84828949,213.5445404,231.0869904,225.2558746,425.3367615,207.818512,483.988678,212.3657379,0.133333333
5,5,100.1837769,213.127182,228.0362549,224.971344,425.741272,207.3890533,484.0668945,212.6547394,0.166666667
6,6,100.4183426,212.7987213,229.5285645,224.9396362,426.8011169,209.1240997,484.0235596,212.3466492,0.2
7,7,100.7480087,212.8096924,227.4641113,225.6138,426.947113,207.1983032,483.719574,212.581543,0.233333333
8,8,100.7452621,212.8975067,227.3264465,225.363266,426.8656311,207.0484924,483.7982483,212.5196228,0.266666667
9,9,100.5212936,213.374649,227.4973907,225.0003204,428.6906738,207.2274323,484.0424194,212.8705292,0.3
10,10,99.87738037,213.4579163,227.3926849,223.49617,429.0099182,207.461853,483.3465271,211.231308,0.333333333
11,11,99.87844849,213.3013763,226.8198242,222.794342,429.1938782,208.7979279,483.2193604,211.1006927,0.366666667
12,12,100.3844376,214.7770691,226.1050873,222.5890961,427.7961731,207.1223755,484.0515747,211.7421265,0.4
13,13,100.4226532,215.0447998,226.4300232,222.3269806,429.8051758,207.8774109,484.2800293,211.9274597,0.433333333
14,14,100.6085587,214.8748932,226.4893799,223.8194885,428.3609924,207.9019775,484.0273132,210.0511169,0.466666667
15,15,101.4200211,215.4638977,225.622818,222.4655914,428.511322,208.3434753,481.7778015,210.786911,0.5
16,16,99.54633331,216.6635284,226.8798523,223.9290466,428.9179077,208.3773041,483.6993713,210.7875061,0.533333333
17,17,101.4560318,215.3244019,224.8259583,222.4513092,430.5216675,207.6208801,481.8644104,210.5024719,0.566666667
18,18,101.2047501,216.9779663,225.7991638,222.6170197,430.5801392,207.9216309,483.915741,210.6264038,0.6
19,19,102.3796234,217.552597,224.7274323,223.7328033,431.2236328,207.2910767,483.3904114,211.1121674,0.633333333
20,20,100.3619156,217.685257,224.817627,223.3960571,431.342041,208.8940735,483.5959473,210.9164124,0.666666667
21,21,102.2249146,219.048645,225.6564026,224.2423706,431.0184326,208.3188782,482.4380188,210.3143005,0.7
22,22,101.8089905,218.7867126,225.9209595,224.4957886,431.3146057,208.1807556,484.136322,210.7133331,0.733333333
23,23,101.8811111,220.0027466,225.8512268,225.754715,431.7167053,209.2401581,482.9620056,211.2120819,0.766666667
24,24,103.4987946,220.5612488,225.558136,225.0797272,430.5383606,208.7011414,483.2994385,210.9334412,0.8
25,25,104.3518753,220.7463989,225.354599,226.4768372,430.4350586,208.7523346,483.4486084,211.2482452,0.833333333
26,26,104.8127289,220.9151154,226.2669678,227.0074463,430.5579224,208.7601776,483.1593933,211.5583649,0.866666667
27,27,103.0647736,222.3202057,226.3327789,226.4388885,430.6906738,208.6282349,483.5987854,211.7098236,0.9
28,28,103.4761581,221.7448425,226.5340881,226.8753967,430.4274292,208.1380005,484.0573425,211.4902191,0.933333333
29,29,102.0946808,222.131073,229.4155273,228.3513184,431.3413086,209.437912,483.1439819,212.496521,0.966666667
30,30,102.0369644,222.4695587,230.3005829,228.0827332,431.9799805,207.665451,484.2684021,210.826889,1
31,31,101.4393311,223.166275,230.2542267,227.5397797,430.6218872,209.0515442,483.6730652,211.5897675,1.033333333
32,32,101.9728546,223.3072815,230.1928101,227.3273315,430.6856079,209.0149078,483.6990967,211.5607452,1.066666667
33,33,102.1133575,222.1990814,229.6862488,227.7902679,430.5263672,208.8963318,484.4797363,213.1088409,1.1
34,34,102.121582,222.2378845,231.2313232,227.6931458,430.2757263,208.8753967,484.1423035,211.7173767,1.133333333
35,35,103.5209427,220.3778992,232.3500061,227.0275116,430.6150513,209.1599579,483.9076843,212.9703064,1.166666667
36,36,102.926445,220.4661407,231.071991,225.9755859,431.1722107,209.203186,482.632843,212.5411224,1.2
37,37,101.850235,219.4464874,233.5351715,225.5695038,430.993866,209.311615,483.9338989,212.9833069,1.233333333
38,38,101.6986313,219.5457611,233.2887573,225.4458313,430.9734192,209.2998962,483.9457397,212.9945679,1.266666667
39,39,102.5025406,219.7341309,235.5838318,225.2387543,429.2102661,209.1292419,482.5076294,212.3192139,1.3
40,40,103.2757874,219.1346893,234.7156982,224.5333252,429.1862488,208.5565338,482.4396973,213.3031006,1.333333333
41,41,102.8089523,218.8131256,236.309433,224.0591278,428.9104309,208.4282684,482.3305969,212.7818146,1.366666667
42,42,101.4911194,218.0410309,236.4570465,224.1240845,429.1531372,206.8236237,483.4135742,213.0452118,1.4
43,43,102.9139175,218.7560272,236.6808624,223.7498779,429.0909424,207.973175,481.9356079,214.4667053,1.433333333
44,44,102.3274384,218.5813599,236.3404846,225.1226196,429.0783081,206.6386261,482.2909851,212.8430328,1.466666667
45,45,102.0444107,218.1485748,238.5324554,223.8907318,429.5500793,208.6262207,483.6916504,214.306778,1.5
46,46,101.8486176,216.5967407,239.5437469,224.6321106,428.8701477,208.2223969,482.2727356,212.8358917,1.533333333
47,47,102.6705322,215.8894196,237.9539642,226.0458984,428.7879944,208.6105499,483.7065735,214.4490662,1.566666667
48,48,102.5319443,217.4824829,240.1071625,227.094696,428.5510559,207.7961884,483.0834656,214.9024658,1.6
49,49,102.8742676,216.0534363,239.8723145,225.8914337,428.1012878,208.6322327,482.9446716,215.9658508,1.633333333
50,50,102.9422684,215.8300323,240.0346222,225.8722839,428.0744629,208.4909515,482.9610596,216.0068207,1.666666667
51,51,102.8982391,214.9678345,240.6949158,226.3218536,426.7338562,208.6091766,482.6550903,215.2647858,1.7
52,52,102.3913193,216.2316589,239.2012634,228.3210907,426.1594543,209.6175995,481.6650696,215.3968201,1.733333333
53,53,102.0020218,215.631897,238.7433472,228.2999878,425.8793335,208.9927521,481.478302,213.3576355,1.766666667
54,54,101.2706604,216.1322174,238.5414429,228.735321,425.1861572,209.3901825,481.5014954,213.5766296,1.8
55,55,102.4361267,214.8711548,239.2233582,229.2845917,424.252533,211.4297028,481.6671448,213.9465332,1.833333333
56,56,102.5169983,214.5480652,239.0130005,229.5842285,424.7892456,210.6015778,482.1565552,215.2483673,1.866666667
57,57,102.8610458,214.2802124,236.858078,229.5168152,424.1526489,210.3414154,481.3431091,213.896759,1.9
58,58,103.7528839,215.523056,237.5209808,228.9533691,423.5380859,210.1841125,481.2700195,213.8115692,1.933333333
59,59,103.2696762,214.3355103,236.6961975,230.4530792,422.8874207,210.2491302,481.0195923,213.9589539,1.966666667
60,60,104.6535187,213.1783905,235.4993744,231.8246307,421.3772583,210.1517487,482.1994934,215.3782043,2
61,61,104.0168533,214.575592,236.6101837,230.7844543,421.2266846,210.6369781,482.4369812,215.7514801,2.033333333
62,62,105.1790619,216.0474396,236.3891907,230.6076813,420.9858704,211.1380615,480.8005371,213.5269623,2.066666667
63,63,105.1884766,216.1655273,236.4517822,231.2862854,420.2862854,211.4366608,480.9837036,214.3648529,2.1
64,64,107.1618729,215.1566772,235.6459045,230.5396271,420.0688477,211.4454498,480.9855652,214.6898804,2.133333333
65,65,106.0889893,215.5535889,235.381012,230.2145386,419.0877991,211.858551,480.8973389,214.7900848,2.166666667
66,66,107.1029816,214.839035,235.8286438,229.1924286,417.7624512,211.5980072,481.0426941,214.75177,2.2
67,67,106.6804886,214.4371033,235.3972473,229.7173462,416.817627,212.7182159,480.8023987,214.8634644,2.233333333
68,68,106.5839615,214.6242371,235.3910675,229.7259674,416.8621826,212.5964203,480.856781,214.9021759,2.266666667
69,69,107.3785095,215.6816254,235.4564362,229.9168091,417.8873596,212.3401337,480.5865784,212.8748016,2.3
70,70,107.4238052,215.0946045,235.4499664,229.4785461,417.2321472,213.4625397,480.7346191,214.7937469,2.333333333
