,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,116.78157806396484,208.6140899658203,204.24343872070312,216.3419647216797,407.4446716308594,219.20452880859375,479.5268249511719,209.1106414794922,0.0
1,1,116.29507446289062,207.15695190429688,203.60720825195312,216.20840454101562,407.10784912109375,219.0626220703125,479.5285339355469,208.73594665527344,0.0333333333333333
2,2,118.29107666015625,208.0654296875,203.15740966796875,216.56422424316406,406.7671813964844,219.3838653564453,479.89520263671875,208.54994201660156,0.0666666666666666
3,3,117.0918960571289,207.48822021484375,202.73291015625,217.715576171875,406.9513244628906,216.87936401367188,479.78656005859375,208.40423583984375,0.0999999999999999
4,4,119.3431396484375,207.3316650390625,202.5473175048828,216.67381286621094,407.166015625,216.87747192382812,479.352294921875,208.52430725097656,0.1333333333333332
5,5,117.8324966430664,209.07119750976562,200.49728393554688,217.84646606445312,405.13427734375,216.63998413085938,479.2533264160156,208.48512268066406,0.1666666666666665
6,6,117.84903717041016,209.30239868164062,202.15760803222656,216.42581176757812,406.8052062988281,216.31895446777344,479.3931579589844,208.0619659423828,0.1999999999999998
7,7,118.02377319335938,209.16635131835938,201.17034912109375,216.52975463867188,405.3111572265625,216.26708984375,479.19476318359375,207.81112670898438,0.2333333333333331
8,8,120.30120849609375,209.3558807373047,200.3799285888672,217.37841796875,405.0730285644531,215.6068115234375,479.2870788574219,207.2032012939453,0.2666666666666664
9,9,120.12743377685547,207.96038818359375,200.67129516601562,217.428955078125,403.7850646972656,215.21746826171875,479.0943298339844,207.46420288085938,0.2999999999999997
10,10,120.25627899169922,210.40512084960938,200.01007080078125,216.68206787109375,404.68463134765625,214.74093627929688,479.19793701171875,207.2486114501953,0.33333333333333304
11,11,119.9892349243164,208.2896728515625,199.47482299804688,216.3867950439453,404.05474853515625,214.37977600097656,479.4529113769531,207.3793487548828,0.36666666666666636
12,12,118.52503967285156,209.83148193359375,199.84396362304688,217.43826293945312,403.3628234863281,214.08297729492188,480.53741455078125,208.27517700195312,0.3999999999999997
13,13,120.43199157714844,210.00372314453125,199.81387329101562,216.80897521972656,404.6640625,214.4537353515625,480.58392333984375,207.4397735595703,0.433333333333333
14,14,118.70095825195312,212.25413513183594,198.80950927734375,216.44879150390625,402.26837158203125,212.98724365234375,478.9951477050781,207.3406219482422,0.46666666666666634
15,15,119.59632873535156,210.72816467285156,198.79080200195312,216.61508178710938,403.4140930175781,212.4464569091797,480.7939147949219,207.10430908203125,0.49999999999999967
16,16,119.8674087524414,210.97108459472656,198.09649658203125,215.7802276611328,402.729248046875,212.0384063720703,481.3163757324219,208.38059997558594,0.533333333333333
17,17,121.84210968017578,211.463623046875,198.8391876220703,215.381103515625,401.55194091796875,210.8783721923828,481.11956787109375,208.22451782226562,0.5666666666666663
18,18,121.64978790283203,211.23458862304688,198.64036560058594,215.43783569335938,401.0084533691406,210.5712432861328,481.02252197265625,208.7116241455078,0.5999999999999996
19,19,123.52934265136719,211.18943786621094,197.86660766601562,215.49191284179688,400.9665832519531,210.10989379882812,480.89813232421875,208.63723754882812,0.633333333333333
20,20,123.2929916381836,212.6233367919922,198.5594482421875,215.30227661132812,400.3551940917969,210.7749786376953,480.9291076660156,207.9885711669922,0.6666666666666663
21,21,123.3548583984375,211.33152770996094,199.58255004882812,214.90211486816406,399.92877197265625,210.2227783203125,480.38238525390625,208.5084991455078,0.6999999999999996
22,22,123.63999938964844,212.3819122314453,199.0299835205078,214.9224853515625,401.3710021972656,209.6925048828125,480.4396667480469,208.83627319335938,0.733333333333333
23,23,123.19160461425781,211.69171142578125,199.7387237548828,216.2515411376953,400.18328857421875,208.82188415527344,479.5008850097656,208.88607788085938,0.7666666666666663
24,24,124.19486236572266,211.81915283203125,200.66392517089844,216.0813751220703,400.65911865234375,209.0440673828125,480.7584533691406,207.57957458496094,0.7999999999999996
25,25,123.77532958984375,211.73915100097656,201.0484619140625,215.1464080810547,400.7784423828125,209.05674743652344,480.6577453613281,209.68186950683594,0.8333333333333329
26,26,122.5232162475586,212.32391357421875,202.3687286376953,214.48367309570312,400.9572448730469,207.9371795654297,480.5516052246094,209.31854248046875,0.8666666666666663
27,27,124.24443054199219,212.14117431640625,202.78829956054688,214.58786010742188,401.75042724609375,207.34884643554688,480.5135803222656,209.53341674804688,0.8999999999999996
28,28,123.86840057373047,211.19447326660156,203.5045166015625,215.35458374023438,399.69390869140625,208.2106475830078,478.2853088378906,209.43576049804688,0.9333333333333329
29,29,123.20758056640625,212.96388244628906,206.0723876953125,214.3528289794922,401.4737548828125,206.79653930664062,478.3683776855469,208.64988708496094,0.9666666666666662
30,30,123.14427947998047,212.9117431640625,205.27951049804688,214.0594024658203,401.5090026855469,206.79615783691406,478.3506774902344,208.6077117919922,0.9999999999999996
31,31,123.99034881591797,211.9259490966797,205.20143127441406,215.612548828125,401.3199768066406,205.7834930419922,478.4912109375,209.13621520996094,1.0333333333333328
32,32,124.2933120727539,211.86407470703125,208.18496704101562,214.33761596679688,401.15887451171875,205.55413818359375,478.5237731933594,211.79971313476562,1.066666666666666
33,33,124.42489624023438,213.49526977539062,209.4231414794922,214.1345977783203,400.8583068847656,205.45237731933594,478.4156494140625,211.87327575683594,1.0999999999999992
34,34,124.01752471923828,211.08692932128906,211.68731689453125,213.0208282470703,400.6735534667969,205.3075408935547,478.18402099609375,212.3535919189453,1.1333333333333324
