,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,111.88839721679688,217.39688110351562,245.7227325439453,214.39910888671875,423.2572021484375,211.73388671875,481.45166015625,212.80418395996094,0.0
1,1,109.7686538696289,217.54359436035156,245.73216247558594,214.60415649414062,423.26318359375,211.67996215820312,481.39312744140625,212.82720947265625,0.0333333333333333
2,2,112.25104522705078,217.28070068359375,246.40443420410156,214.47808837890625,421.1517639160156,213.8357696533203,481.4604187011719,213.54568481445312,0.0666666666666666
3,3,113.20274353027344,217.79833984375,244.4736785888672,214.38604736328125,421.3702087402344,213.48681640625,482.18377685546875,213.27098083496094,0.0999999999999999
4,4,112.05508422851562,218.55313110351562,244.417236328125,214.22903442382812,420.8984680175781,213.3743896484375,480.29913330078125,211.22523498535156,0.1333333333333332
5,5,113.50794219970703,219.04530334472656,245.08905029296875,214.2094268798828,420.6292724609375,213.1627960205078,480.2520751953125,210.83087158203125,0.1666666666666665
6,6,113.14328002929688,218.64340209960938,245.25978088378906,214.11727905273438,420.4887390136719,212.64358520507812,480.26898193359375,209.9796142578125,0.1999999999999998
7,7,114.93340301513672,216.85052490234375,243.3944091796875,214.23805236816406,420.59906005859375,212.79713439941406,480.4292907714844,210.37062072753906,0.2333333333333331
8,8,115.63748168945312,217.7834014892578,245.2172088623047,212.60858154296875,420.4213562011719,212.7302703857422,481.1191101074219,210.27195739746094,0.2666666666666664
9,9,117.26490783691406,216.7537078857422,243.19235229492188,214.3391876220703,420.15667724609375,212.9967498779297,481.16949462890625,207.80409240722656,0.2999999999999997
10,10,118.77616882324219,217.83905029296875,243.18211364746094,212.2767791748047,419.320556640625,213.49859619140625,481.3782958984375,209.34571838378906,0.33333333333333304
11,11,117.7069320678711,217.4528045654297,243.9270477294922,214.3599395751953,417.9964904785156,212.5940399169922,482.0599670410156,208.30648803710938,0.36666666666666636
12,12,120.83780670166016,219.15072631835938,242.24337768554688,212.33702087402344,418.3405456542969,214.3248748779297,480.7860412597656,208.94039916992188,0.3999999999999997
13,13,120.80897521972656,219.16653442382812,242.20361328125,212.37255859375,418.33624267578125,214.32424926757812,480.87005615234375,208.92153930664062,0.433333333333333
14,14,121.37319946289062,218.8783416748047,243.856689453125,213.30947875976562,418.0861511230469,213.25901794433594,480.64544677734375,209.13125610351562,0.46666666666666634
15,15,122.41221618652344,217.2027587890625,241.84768676757812,212.92066955566406,417.9702453613281,213.63497924804688,480.3831787109375,207.8403778076172,0.49999999999999967
16,16,122.2868881225586,217.9089813232422,241.79014587402344,212.4913787841797,415.6725769042969,213.69528198242188,478.65899658203125,207.13185119628906,0.533333333333333
17,17,122.79132843017578,218.1392822265625,240.83790588378906,212.00254821777344,415.6520690917969,213.24929809570312,478.9046936035156,207.58554077148438,0.5666666666666663
18,18,123.30095672607422,217.80723571777344,240.93992614746094,213.47189331054688,415.5443115234375,213.5332794189453,479.3370361328125,208.20765686035156,0.5999999999999996
19,19,123.2946548461914,217.65213012695312,239.00746154785156,213.33961486816406,415.4073181152344,214.11814880371094,479.24224853515625,208.73342895507812,0.633333333333333
20,20,123.4266357421875,217.41604614257812,238.76809692382812,213.46702575683594,415.38232421875,213.85012817382812,479.0153503417969,207.0019073486328,0.6666666666666663
21,21,124.7394790649414,218.29232788085938,237.24903869628906,212.91680908203125,414.63427734375,213.8001251220703,476.9312744140625,208.4703369140625,0.6999999999999996
22,22,126.59577941894531,217.76954650878906,237.27743530273438,213.22581481933594,414.6839599609375,213.8154296875,476.8446044921875,208.64060974121094,0.733333333333333
23,23,125.19906616210938,218.7764892578125,236.07388305664062,211.28163146972656,414.7071228027344,213.08905029296875,475.4582214355469,208.42062377929688,0.7666666666666663
24,24,127.70196533203125,217.43319702148438,236.328125,213.26036071777344,414.6350402832031,213.3948211669922,475.5617980957031,208.9178009033203,0.7999999999999996
25,25,127.65347290039062,217.4408721923828,236.3145294189453,213.3097381591797,414.643310546875,213.3662872314453,475.5535583496094,208.96966552734375,0.8333333333333329
26,26,126.06594848632812,217.36062622070312,235.3641357421875,212.7146759033203,412.65533447265625,213.3881378173828,475.67236328125,208.52597045898438,0.8666666666666663
27,27,127.73284149169922,216.25672912597656,234.87266540527344,213.09060668945312,412.58758544921875,214.99359130859375,475.7474365234375,208.80783081054688,0.8999999999999996
28,28,128.5287628173828,216.6243896484375,234.9228973388672,213.07012939453125,412.61322021484375,215.025634765625,475.501220703125,208.65509033203125,0.9333333333333329
29,29,128.44589233398438,216.19187927246094,232.7943115234375,213.0588836669922,412.4254455566406,214.9241180419922,477.17974853515625,208.90985107421875,0.9666666666666662
30,30,128.42987060546875,215.92642211914062,232.7224884033203,213.52676391601562,414.2184753417969,215.25103759765625,475.04046630859375,209.51991271972656,0.9999999999999996
31,31,129.89247131347656,215.7574005126953,232.91123962402344,213.4224395751953,412.082763671875,215.49327087402344,475.174072265625,210.89682006835938,1.0333333333333328
32,32,129.83006286621094,217.99313354492188,232.69482421875,213.6078643798828,412.030517578125,215.66854858398438,475.1123352050781,210.73098754882812,1.066666666666666
33,33,130.0760040283203,218.02731323242188,232.34825134277344,213.11932373046875,412.1123352050781,215.04725646972656,474.71038818359375,211.51748657226562,1.0999999999999992
34,34,130.9393310546875,216.41534423828125,232.3023223876953,213.33546447753906,411.6328430175781,215.08470153808594,474.8768310546875,211.33123779296875,1.1333333333333324
35,35,130.6896514892578,215.88278198242188,230.6289520263672,213.3853759765625,411.7188415527344,215.39877319335938,475.3477478027344,211.3238983154297,1.1666666666666656
36,36,129.11375427246094,216.8915557861328,231.05606079101562,214.1371612548828,412.1462707519531,215.96481323242188,474.97454833984375,211.606201171875,1.1999999999999988
37,37,128.9532928466797,216.85179138183594,228.88894653320312,214.1320343017578,410.08502197265625,216.02389526367188,474.9351806640625,211.7224884033203,1.233333333333332
