,image_id,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y,c4_x,c4_y,t
0,0,105.2594572,212.865393,218.4093061,216.3398297,421.1518579,211.6823847,476.5475583,213.1307456,0
1,1,106.4900385,215.7088006,219.2876728,216.3386571,421.2047,211.7049073,476.5661368,213.4322197,0.033333333
2,2,106.16075,214.2697289,217.5688883,216.1942779,418.9383982,211.7504246,476.5294063,213.3683828,0.066666667
3,3,108.9386837,216.2556631,218.9286206,215.5027925,419.0398489,211.7955003,476.8693013,213.8753015,0.1
4,4,109.4413156,216.3354135,218.9470316,216.8306369,418.8889368,211.9849857,476.7738505,213.9715594,0.133333333
5,5,109.1389735,216.1765217,218.3551696,216.9376307,419.1383454,212.2811603,476.6516893,213.888946,0.166666667
6,6,107.5541978,216.0557463,219.2197243,216.9596965,419.1932281,212.1469231,476.480158,214.0218736,0.2
7,7,109.4583028,217.5558529,217.6094412,216.2300491,419.2603239,212.08167,476.6427655,214.2507545,0.233333333
8,8,109.5441293,218.1408317,219.329581,216.2941601,419.5342805,212.0554317,476.4893559,214.0398734,0.266666667
9,9,109.3291975,218.2056737,217.6464763,216.3362968,417.3889825,211.9715848,476.6307352,214.3185203,0.3
10,10,109.2239244,219.0664974,217.9293567,216.2387444,417.3416226,211.8322309,476.5073253,214.5357059,0.333333333
11,11,109.3295097,218.9953966,218.0208634,216.2340237,417.3250847,211.8133783,476.527122,214.5405181,0.366666667
12,12,109.638103,220.2870281,215.8154594,214.249384,416.9833927,212.7047043,476.4450112,213.6067661,0.4
13,13,111.0886111,219.9327272,217.8145355,214.4049712,417.0012098,212.4826608,478.4868787,213.2844445,0.433333333
14,14,110.5776569,220.2971549,217.1855775,214.0899897,417.1640305,212.4615392,478.4695185,213.4524124,0.466666667
15,15,111.0674361,220.2690283,217.3228755,214.3763268,415.5222705,212.6389333,478.3424233,213.2069326,0.5
16,16,110.7418633,219.7643177,216.5822029,214.0911622,415.5149,212.0835126,478.3353879,212.7360136,0.533333333
17,17,110.7808325,219.7275719,216.5809846,214.0670406,415.5032656,212.0037774,478.3159261,212.7009733,0.566666667
18,18,111.8834811,219.5732638,217.6681157,214.3159163,415.4428703,211.8810984,478.2796524,212.5611169,0.6
19,19,111.9544906,219.1436134,215.7932414,213.948382,415.7008981,212.17173,478.2819062,212.1571108,0.633333333
20,20,111.9436633,219.0410205,215.8496012,213.8946109,413.7238726,212.007021,478.0791874,212.086071,0.666666667
21,21,114.7676548,219.2031559,217.7459778,213.4946556,414.229573,212.0386044,478.3324031,211.7166483,0.7
22,22,115.1339709,217.2782872,215.6255781,213.704425,414.0783258,212.0963196,478.2325057,211.2501454,0.733333333
23,23,115.1303009,217.2528103,215.6180249,213.7293537,414.0707117,212.0970962,478.2330234,211.2536327,0.766666667
24,24,115.6768436,216.0313811,217.0510357,213.6135732,413.8648559,212.2276939,477.9471279,211.4333872,0.8
25,25,115.7093712,216.1349029,217.0600965,211.9613971,413.5333669,212.1366288,477.8845397,211.4252097,0.833333333
26,26,117.1028189,217.8600224,216.9776202,212.0222645,411.5079154,211.9205701,477.9685997,211.4553921,0.866666667
27,27,117.7953093,217.4686406,217.1076087,212.012625,411.5265244,211.8272969,477.9844067,211.3367943,0.9
28,28,117.7598731,217.8652914,215.4494174,212.1950749,410.9955754,211.9447374,478.0395026,211.6658773,0.933333333
29,29,117.7169599,215.7569372,215.3185761,212.0890405,410.9972201,211.9764274,478.0405381,211.6551413,0.966666667
30,30,119.2087061,217.8962047,215.739851,212.2036941,411.2791868,212.1151265,477.9329047,213.5436602,1
31,31,119.6627218,220.0288633,215.9268542,212.0980251,410.9351192,213.7287598,477.7554953,214.0504875,1.033333333
32,32,120.7961925,218.4239405,216.6978616,212.1922272,411.3166179,213.93891,477.6540446,214.4024281,1.066666667
33,33,122.4469143,219.4492448,216.521838,212.2285162,411.3468612,214.2523078,477.9833102,214.2351303,1.1
34,34,122.8522757,219.0673045,216.7871145,212.1147153,411.1978983,213.6546134,477.9996349,214.4919399,1.133333333
35,35,123.1859728,219.7440184,216.6719888,212.2790893,411.234903,213.7239325,478.1494507,214.3734792,1.166666667
36,36,123.4992944,219.9511991,215.9077275,211.8969663,410.456586,213.9855846,477.4587267,213.6455982,1.2
37,37,125.8152404,220.1805673,215.9666305,211.9776609,410.4272868,213.9014637,477.2638658,213.358591,1.233333333
38,38,124.395128,220.9297373,216.5694416,212.2221356,410.4782101,215.5488885,474.9775845,213.2770893,1.266666667
39,39,126.5803469,221.4647522,216.879946,211.9314279,408.5451943,215.4001692,475.1016644,213.5806801,1.3
40,40,126.0803951,221.7235871,216.4226106,212.386342,410.2686996,215.7320542,474.9668942,213.2535464,1.333333333
41,41,126.1096714,221.6135324,216.4057377,212.382337,410.2530449,215.767399,474.9745388,213.1854151,1.366666667
42,42,128.5749154,221.466808,216.5646904,212.4773309,410.2293193,215.6373952,475.1989426,212.8779715,1.4
43,43,127.9320844,221.8318906,216.5950099,213.0373202,410.502819,217.3132208,475.0723957,213.0622032,1.433333333
44,44,128.843938,221.0192796,216.2115315,212.6327507,408.2194311,217.0555585,475.1418975,213.2889064,1.466666667
45,45,128.922455,222.4388438,217.7875967,213.2592874,408.1354624,216.700359,475.2547695,213.5854618,1.5
46,46,128.7693043,221.6810393,217.1951256,212.5856344,408.6125641,217.5017011,474.9506913,213.4634681,1.533333333
47,47,130.8052937,221.7892057,217.0887866,212.6561261,408.6323,217.5022341,474.9306509,213.4687523,1.566666667
48,48,130.5520171,221.6554406,216.9384835,212.5811421,409.0000323,218.0893449,474.9319301,213.2449881,1.6
49,49,130.5917477,219.9585543,217.4803816,212.4260421,408.9465811,218.1399332,475.0779083,213.2980586,1.633333333
50,50,131.6518029,220.0428733,217.3148503,212.7636681,409.3514703,218.1302937,474.8464995,213.1567859,1.666666667
51,51,131.9290183,220.7597441,217.3538955,212.7982211,407.5072657,217.9156208,475.1032177,212.7985104,1.7
52,52,131.2077465,221.333317,216.6509128,212.8968241,408.1734417,220.3658192,475.729587,212.589274,1.733333333
53,53,131.0369614,221.5071172,216.5987865,212.8342055,408.1033307,220.3894535,475.6745215,212.6874506,1.766666667
54,54,131.9965862,222.1520345,215.91857,213.4501129,407.3852873,220.5875885,475.8313727,212.7596479,1.8
55,55,131.3703997,221.6643339,216.0086148,213.7891095,407.3231559,220.3411037,475.6437604,211.0343761,1.833333333
56,56,131.9677591,221.0931062,216.1322075,213.7379425,406.8210494,220.6307759,473.5543502,211.8636164,1.866666667
